,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,PG1,PG2
26,1,0,17,1,1,1,1,1,4,5,3,1,1,2,0,0,1,0,0,0,1,1,0,5,3,3,1,1,3,2,9,11
27,1,1,15,1,0,1,2,2,3,3,1,2,2,2,0,0,0,1,1,1,1,1,0,5,3,3,1,3,4,2,13,12
28,1,0,17,1,0,1,3,2,5,5,2,2,2,2,0,0,0,0,0,1,1,1,0,4,4,4,1,3,1,2,14,16
29,1,1,15,1,1,1,2,2,3,3,1,1,1,4,0,0,1,0,1,1,1,1,0,5,5,4,1,2,5,6,14,13
30,0,0,19,1,1,1,1,1,4,3,3,2,1,3,1,0,0,0,1,1,0,0,1,5,3,1,1,1,3,6,7,9
31,0,1,20,0,1,1,1,1,5,5,3,0,2,1,1,0,1,0,0,1,0,1,1,4,4,3,2,4,4,12,8,11
32,1,0,18,1,0,0,2,2,3,5,2,2,2,2,0,0,1,0,0,1,1,1,0,4,1,4,1,3,4,10,14,17
33,1,1,15,0,1,1,2,1,2,3,2,2,1,2,0,0,0,0,1,1,1,1,1,5,4,2,1,1,5,4,10,9
34,1,1,15,1,1,1,3,4,5,5,1,2,1,2,0,0,1,0,1,1,1,1,0,5,5,1,1,1,5,0,12,12
35,0,0,18,0,1,1,1,1,4,4,3,2,2,1,1,0,0,0,0,0,0,1,1,3,2,3,1,1,2,4,9,11
36,0,1,15,1,1,1,2,2,2,5,2,2,3,1,0,0,0,0,0,1,1,0,0,4,3,3,1,2,4,1,13,12
37,0,0,15,0,1,1,3,3,3,5,2,2,1,2,0,0,1,0,0,1,1,1,1,4,5,4,1,1,1,4,13,12
38,1,0,17,1,1,1,4,4,1,3,3,2,1,3,0,0,1,0,1,1,1,1,0,5,4,4,1,3,4,0,13,12
39,0,1,18,1,0,1,4,4,1,3,4,2,2,3,0,0,0,0,0,1,1,1,1,4,2,2,2,2,5,0,15,16
40,1,1,18,1,0,1,1,1,5,5,3,2,1,1,2,0,0,0,0,1,0,1,1,2,3,5,2,5,4,0,11,9
41,1,0,16,1,1,1,4,4,5,5,2,2,1,1,0,0,0,0,1,0,1,1,0,5,3,4,1,2,1,4,12,13
42,1,1,18,0,0,1,3,3,5,3,3,2,1,2,0,0,1,0,0,1,1,1,1,4,3,3,1,3,5,8,10,9
43,1,1,16,1,1,1,3,3,5,3,3,1,1,2,1,0,1,0,0,1,1,1,1,4,5,5,4,4,5,0,10,10
44,0,0,15,1,1,1,2,2,5,3,3,2,2,3,0,0,1,0,1,1,1,0,0,5,3,2,1,1,4,0,12,13
45,1,0,17,1,1,1,3,2,5,5,3,1,1,2,0,0,0,0,1,1,1,0,0,5,4,2,1,1,3,4,14,14
46,1,1,15,0,1,1,2,3,4,3,3,2,1,2,0,1,0,1,1,1,1,0,0,4,4,4,1,1,1,0,7,8
47,1,1,15,1,1,1,4,2,5,5,3,2,1,4,0,0,0,0,0,1,1,1,0,3,3,3,1,1,3,0,11,9
48,0,0,18,1,1,1,1,2,4,4,3,1,2,2,0,0,1,0,0,1,0,0,0,4,1,1,1,1,4,0,11,11
49,1,0,15,1,1,1,4,3,3,5,2,2,1,1,0,0,0,0,1,1,1,1,0,4,5,5,1,3,1,6,14,13
50,1,1,16,0,1,1,2,2,4,5,3,2,3,1,0,0,0,0,0,0,1,0,0,4,2,2,1,2,3,4,12,10
51,1,0,16,1,1,1,4,2,1,3,1,2,2,2,0,0,1,0,1,1,1,1,0,5,3,3,1,1,1,2,13,14
52,0,0,17,1,0,1,1,1,5,3,3,1,1,3,0,0,1,0,0,1,1,0,1,4,3,3,1,1,3,0,11,11
53,1,1,15,1,1,1,4,4,3,3,2,2,2,2,0,0,1,0,1,1,1,1,0,4,3,1,1,1,5,2,15,15
54,0,0,15,0,1,1,1,1,4,3,4,2,1,1,1,0,1,0,0,1,1,0,1,4,1,3,1,1,2,6,10,10
55,0,0,17,1,0,0,3,2,3,5,2,2,2,2,0,0,0,0,0,1,1,0,1,1,2,3,1,2,5,0,15,14
56,0,1,17,0,1,1,1,1,5,3,4,1,3,1,0,0,0,0,0,0,0,0,0,4,2,3,3,4,4,4,12,13
57,1,0,15,1,1,0,4,3,3,3,2,2,1,2,0,0,1,0,1,1,1,1,0,4,3,2,1,1,1,0,15,14
58,1,0,17,0,1,1,4,3,1,5,2,2,2,3,0,0,1,0,1,1,1,1,1,4,4,2,1,1,4,0,11,12
59,0,0,19,0,1,1,2,3,3,5,3,2,1,3,1,0,0,0,1,0,1,1,0,5,4,2,1,2,5,4,10,11
60,1,1,17,1,0,1,1,1,2,5,3,2,2,1,1,0,1,0,1,1,1,1,0,4,4,4,1,2,5,0,9,10
61,1,1,20,1,1,0,3,2,3,5,3,0,1,1,2,0,0,0,1,1,1,0,0,5,5,3,1,1,5,0,14,15
62,0,1,16,0,1,1,1,2,5,5,3,1,2,2,0,0,0,0,0,1,1,0,0,4,3,3,1,1,5,0,10,11
63,1,0,15,1,1,1,1,2,4,3,3,1,1,2,0,0,0,0,0,0,1,0,1,2,3,4,2,4,1,6,11,11
64,1,0,16,1,1,1,4,4,2,5,1,2,1,1,0,0,1,0,0,1,1,1,0,4,4,4,1,2,2,6,17,17
65,1,0,18,1,1,1,2,1,5,5,1,2,1,2,0,0,1,0,0,1,1,1,1,4,2,5,1,2,1,8,14,14
66,1,1,16,1,1,1,4,4,3,3,3,2,1,1,0,0,0,1,1,1,1,1,0,5,3,2,1,2,5,4,14,15
67,0,1,15,0,1,1,1,2,5,3,3,2,3,2,0,0,1,0,1,1,1,0,0,5,5,5,1,3,5,11,9,11
68,1,0,18,1,1,1,2,2,5,5,3,2,1,1,0,0,1,0,1,1,1,1,1,4,3,5,2,4,5,2,10,10
69,1,0,19,1,1,1,2,2,3,3,1,2,1,2,0,0,1,0,0,1,1,1,0,4,3,3,1,1,5,0,10,10
70,1,0,15,1,1,1,4,2,5,5,2,2,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,3,1,4,15,15
71,1,0,16,1,1,1,2,2,4,5,1,2,1,2,1,1,0,0,1,1,1,1,0,3,1,2,1,1,5,12,8,10
72,1,0,17,0,1,1,4,4,3,3,2,2,2,3,0,0,1,0,1,1,1,1,0,5,3,4,1,1,5,0,7,7
73,0,0,16,0,0,1,2,2,5,3,3,1,1,2,0,0,0,0,1,1,1,0,1,5,4,3,1,1,1,0,11,13
74,0,0,17,0,1,1,2,3,5,5,3,2,2,1,0,0,1,0,0,1,1,1,0,5,5,5,1,3,3,2,10,11
75,1,1,15,1,0,0,4,4,1,1,3,2,1,1,0,0,0,0,1,1,1,1,0,5,5,3,1,1,4,4,13,14
76,0,0,17,1,1,1,1,1,5,4,3,2,1,1,0,0,1,0,1,1,1,0,0,4,3,2,1,2,5,9,7,9
77,1,1,15,1,0,1,4,2,1,5,3,2,1,1,0,0,0,0,0,1,1,1,0,3,5,2,1,1,3,10,18,17
78,0,1,17,1,1,1,3,2,5,5,4,1,2,2,0,0,1,1,0,1,1,1,0,4,1,2,2,2,1,0,13,14
79,0,0,17,1,0,1,1,2,4,5,3,1,1,1,0,0,0,0,0,1,1,1,0,5,5,1,1,1,3,0,7,10
80,0,1,16,1,0,1,4,4,1,2,4,1,1,1,0,0,1,0,0,1,1,1,0,4,1,2,2,5,5,0,11,12
81,1,0,16,1,1,0,4,1,5,5,1,2,1,2,0,0,0,0,1,1,1,1,1,5,3,3,1,2,5,0,14,13
82,0,0,17,0,0,0,3,1,5,4,3,0,2,3,0,0,1,1,0,1,0,0,0,4,2,3,2,2,3,5,8,7
83,1,0,16,1,1,0,3,1,3,5,3,2,1,2,0,0,1,0,0,1,1,1,0,2,3,3,2,2,4,2,11,11
84,1,0,15,0,1,1,1,1,4,5,1,2,2,4,0,1,1,1,1,1,1,1,0,3,1,2,1,1,1,4,13,13
85,0,0,16,0,0,1,1,1,4,5,3,1,3,2,0,0,1,0,0,1,1,0,0,5,3,2,1,1,1,0,16,17
86,1,1,18,1,1,1,2,2,5,3,2,1,1,2,0,0,0,0,0,1,0,1,0,5,5,4,3,5,2,16,8,7
87,1,1,17,1,0,0,4,1,3,5,1,2,2,1,0,0,0,0,1,1,1,1,1,4,5,4,2,4,5,22,11,11
88,0,0,18,0,1,1,4,4,1,4,2,2,3,1,0,0,1,0,1,1,1,1,1,4,4,3,2,2,5,4,7,9
89,1,0,16,1,0,1,2,2,3,3,3,2,3,2,0,0,1,0,0,1,1,1,0,4,3,3,2,3,4,0,14,13
90,1,0,15,0,0,1,3,1,5,5,2,1,2,4,0,0,1,0,0,0,1,1,0,4,4,2,2,3,3,6,15,15
91,1,1,18,1,0,1,2,2,5,5,3,2,1,4,0,0,1,1,1,1,1,1,0,4,5,5,2,4,5,0,11,11
92,1,0,16,1,1,1,2,3,3,3,3,2,1,2,0,0,0,0,0,1,1,1,0,4,3,3,1,1,2,6,12,12
93,0,0,16,1,1,1,2,1,5,3,3,2,1,2,0,0,1,0,1,1,1,1,0,5,3,3,1,1,1,0,14,13
94,0,1,16,1,0,1,4,3,5,5,3,1,1,1,0,0,0,0,1,1,1,1,0,4,2,5,1,5,5,8,14,12
95,1,0,18,1,1,1,3,3,3,3,1,2,1,2,0,0,0,0,1,1,1,1,0,5,3,4,1,1,4,8,10,11
96,1,0,18,1,1,1,2,1,5,5,3,0,2,3,0,0,1,0,0,0,1,1,1,4,4,4,1,1,3,10,12,10
97,1,0,15,0,1,1,3,3,3,3,2,0,2,3,0,0,1,1,1,1,1,1,1,4,2,1,2,3,3,2,13,13
98,1,0,16,0,1,1,4,4,2,1,4,2,1,2,0,0,1,0,1,1,1,0,0,2,4,4,2,3,4,0,17,16
99,1,1,18,1,0,0,3,4,5,5,2,0,1,2,0,0,0,0,1,1,1,1,1,4,3,5,1,4,2,9,13,14
100,1,1,17,0,1,1,1,2,4,5,1,2,1,2,0,0,0,0,0,1,1,0,0,3,1,3,1,5,3,6,9,9
101,1,0,18,0,1,1,2,2,5,5,1,2,1,2,0,1,0,0,0,1,1,0,0,3,2,3,1,1,5,4,11,11
102,0,0,16,0,1,1,2,3,4,3,3,2,2,2,0,0,0,0,0,1,1,0,0,4,5,2,1,2,5,0,16,17
103,1,1,16,1,1,1,1,3,4,3,3,1,1,1,1,0,0,0,0,1,0,1,0,5,3,3,1,4,2,2,9,8
104,1,1,18,1,1,1,4,4,1,3,1,1,1,2,0,0,1,0,1,1,1,1,0,4,3,3,2,2,2,0,12,12
105,1,0,18,1,1,1,2,3,4,5,3,2,1,3,0,0,1,0,0,1,1,1,0,4,3,3,1,2,3,0,11,12
106,1,0,17,1,0,1,2,2,3,3,3,1,1,4,0,0,0,0,1,1,1,1,1,3,4,1,1,1,2,2,10,11
107,1,1,19,1,0,0,4,3,3,4,2,2,1,2,0,0,1,0,0,1,1,1,0,4,3,1,1,1,1,4,11,13
108,1,0,16,1,1,1,2,1,5,5,1,2,1,1,0,0,0,0,0,1,1,1,1,4,5,2,1,1,5,4,9,10
109,1,0,16,1,1,1,2,2,5,5,2,2,1,4,0,0,0,0,0,1,1,1,1,5,2,3,1,3,3,1,13,13
110,1,0,15,1,1,1,1,1,4,5,3,2,3,1,0,0,1,0,1,0,1,1,1,4,3,3,1,2,4,6,11,12
111,1,0,15,1,1,0,3,3,3,3,1,2,1,2,0,0,0,0,0,0,1,0,1,1,3,2,2,3,1,24,9,8
112,1,0,17,1,1,1,2,1,3,5,3,2,2,2,0,0,1,0,1,1,1,1,1,4,3,4,2,2,1,10,12,15
113,1,0,15,1,0,1,1,1,4,5,4,2,1,2,0,1,0,0,0,1,1,1,0,4,3,2,2,3,3,6,12,13
114,1,1,18,0,0,1,3,2,3,5,2,2,2,3,0,0,1,0,1,1,1,1,0,5,4,2,1,1,4,0,14,15
115,0,0,17,0,0,0,2,1,3,5,2,2,2,2,0,0,0,0,1,1,1,1,1,5,3,3,1,2,2,5,11,11
116,0,0,18,1,1,1,2,2,3,4,2,1,2,2,0,0,0,0,1,0,1,1,0,4,3,5,1,1,1,2,12,13
117,1,1,16,1,0,0,3,4,3,5,1,2,1,2,0,1,1,1,1,1,1,1,0,5,3,3,1,1,5,2,12,12
118,0,0,16,0,1,1,1,1,4,5,3,1,2,2,3,1,1,0,0,1,1,0,0,3,4,3,1,1,1,0,7,7
119,1,0,18,1,0,1,2,2,5,5,1,0,1,2,0,0,0,0,1,0,1,1,1,4,3,3,1,1,2,0,10,9
120,1,0,17,0,1,1,4,2,5,5,3,2,1,3,0,0,1,0,1,1,1,1,0,4,3,4,1,3,5,2,11,12
121,0,0,19,0,1,0,1,1,4,4,3,0,2,2,3,0,1,0,1,1,0,0,1,3,5,4,1,4,1,0,8,0
122,1,0,16,1,0,1,2,4,5,2,3,1,2,2,0,0,1,0,1,1,1,1,1,4,2,2,1,2,5,2,14,12
123,1,1,15,1,1,1,4,4,2,3,1,2,1,2,0,0,1,1,0,0,1,1,0,5,4,2,3,4,5,0,10,11
124,1,0,17,1,1,1,1,1,4,5,3,2,1,2,0,1,0,0,0,0,1,0,1,4,3,2,1,1,4,10,10,9
125,1,1,17,1,1,1,3,2,3,3,3,2,1,1,3,0,1,1,1,1,1,1,0,5,5,5,2,4,5,2,8,8
126,0,1,16,0,0,1,1,2,5,4,3,2,1,1,0,0,0,0,0,1,1,0,0,4,4,4,2,4,5,4,9,10
127,1,0,18,1,1,1,1,1,5,5,1,2,2,3,0,0,0,0,1,1,1,1,0,4,5,5,1,2,2,0,14,14
128,1,0,15,1,1,0,3,3,5,2,2,1,1,4,0,1,0,0,0,1,1,0,0,4,3,3,1,1,4,10,10,10
129,1,0,16,1,1,0,2,1,5,5,4,2,1,2,0,0,0,0,1,1,1,1,1,5,3,4,1,1,2,2,12,13
130,1,0,15,1,1,1,2,2,5,5,3,2,1,4,0,1,1,0,0,1,1,1,0,5,1,2,1,1,3,4,10,10
131,1,0,19,1,1,1,0,1,4,5,3,0,1,2,2,0,1,0,0,0,0,0,0,3,4,2,1,1,5,0,9,10
132,1,1,17,0,1,1,1,2,4,4,1,2,1,2,0,0,1,0,1,0,1,0,1,3,5,2,2,2,1,2,16,17
133,0,1,18,0,1,1,3,2,3,5,3,2,1,1,1,0,0,0,0,1,0,1,0,2,3,1,2,2,5,0,4,0
134,1,0,18,1,1,1,2,2,4,3,1,2,1,3,0,0,1,0,1,1,1,1,1,4,3,3,1,1,3,0,11,12
135,0,0,18,0,1,0,4,3,3,3,3,2,1,1,0,0,1,0,0,1,1,1,0,5,4,4,3,4,2,8,10,11
136,1,1,15,1,1,1,4,4,3,1,3,1,1,2,0,0,1,0,1,1,1,1,0,4,3,3,1,1,5,0,14,15
137,1,0,16,1,1,1,4,3,2,5,1,2,1,2,0,0,1,0,1,1,1,1,0,4,3,5,1,5,2,2,14,14
138,0,1,17,0,1,1,2,1,5,5,4,2,3,1,0,0,0,0,1,1,0,0,1,5,5,5,5,5,3,8,8,10
139,1,1,18,1,1,1,3,2,3,5,3,2,2,1,0,0,0,0,0,1,0,1,0,4,4,5,2,4,5,8,7,8
140,1,0,17,1,1,1,3,1,5,4,1,2,1,1,1,0,1,1,0,1,1,1,1,4,1,2,1,1,3,6,10,13
141,0,0,18,0,1,1,1,1,5,5,1,2,4,3,0,0,0,0,0,1,1,1,0,4,3,2,1,2,4,4,10,11
142,1,1,16,1,1,1,1,0,5,5,2,2,2,2,0,0,1,0,1,1,1,1,1,4,3,2,1,1,3,0,16,17
143,0,1,19,1,1,1,1,1,5,5,4,2,1,2,2,0,1,0,1,1,0,1,0,4,4,3,3,4,4,2,9,9
144,1,0,20,1,1,1,1,0,5,5,2,2,2,1,1,1,0,0,0,1,1,1,1,5,3,1,1,1,5,5,8,10
145,0,0,17,1,1,1,4,2,1,5,3,1,2,4,0,0,0,0,0,1,1,1,1,4,2,3,3,1,5,0,18,18
146,0,0,17,0,1,1,1,2,5,5,3,2,1,1,0,0,0,0,1,1,1,1,0,3,5,5,1,3,1,4,7,8
147,1,0,17,1,1,1,4,4,1,1,3,2,2,3,0,0,1,0,0,0,1,1,1,4,3,3,1,2,4,4,15,14
148,1,1,15,1,1,1,4,3,1,3,3,1,2,4,0,1,1,0,0,1,1,1,0,2,2,2,1,1,3,6,9,11
149,1,1,17,0,0,1,2,1,4,5,3,2,2,1,1,0,0,1,1,1,0,1,1,3,3,2,2,2,5,8,8,8
150,1,0,17,0,1,0,3,2,5,5,1,2,1,2,0,0,1,0,0,1,1,1,0,4,3,3,2,3,2,0,14,14
151,1,0,15,1,1,1,1,2,4,5,3,2,1,2,0,0,1,0,0,0,1,1,0,4,3,2,1,1,5,6,13,12
152,1,0,16,0,1,1,1,1,5,3,2,2,2,1,0,0,1,0,1,1,1,0,1,3,3,3,1,2,1,8,12,11
153,1,1,15,1,1,1,3,4,5,5,2,1,1,1,0,0,0,0,0,1,1,1,0,3,4,3,1,2,4,2,14,13
154,0,0,16,0,1,1,2,2,5,3,3,1,3,2,0,0,1,0,1,1,1,1,0,5,3,4,1,1,2,1,14,13
155,1,0,17,0,1,1,2,2,5,5,2,2,1,1,0,0,1,0,0,1,1,1,0,5,3,2,1,2,3,21,13,13
156,1,0,15,1,1,1,4,4,1,3,3,2,1,3,0,0,1,0,1,1,1,1,0,4,2,2,1,1,5,2,13,13
157,1,1,15,1,0,1,3,3,5,5,3,2,1,2,0,0,0,0,1,0,1,1,0,5,3,2,1,1,2,0,13,12
158,0,0,15,0,0,1,1,1,4,5,3,2,2,1,0,0,1,0,0,1,0,0,1,5,2,1,1,3,4,0,9,10
159,1,0,16,1,0,1,1,1,4,4,3,2,1,1,0,0,0,0,0,1,1,1,0,3,4,4,3,3,1,4,10,11
160,1,0,19,1,1,1,4,4,2,5,2,0,2,2,0,0,1,0,1,1,1,1,0,2,3,4,2,3,2,2,14,13
161,0,0,16,0,0,1,3,4,4,5,4,2,3,2,0,0,1,0,0,0,1,0,0,4,2,1,1,1,2,2,7,9
162,1,0,16,1,0,1,2,2,5,4,3,1,2,2,1,1,0,0,1,1,1,1,0,4,3,3,2,2,5,14,10,11
163,0,0,18,0,0,1,4,4,1,3,3,2,1,2,0,0,0,0,1,1,1,1,0,5,4,3,3,4,2,1,13,14
164,0,1,16,0,0,1,4,1,5,4,4,1,1,1,0,0,0,0,0,1,1,1,0,4,1,2,2,1,2,0,10,11
165,1,0,17,1,0,0,2,2,5,5,1,2,1,1,1,0,1,0,0,0,0,1,0,3,1,2,1,1,1,8,11,9
166,1,1,15,1,0,1,4,3,1,3,1,2,1,3,0,0,1,0,1,1,1,1,0,5,4,3,1,1,4,0,14,14
167,0,0,17,0,1,1,3,2,4,5,3,1,1,2,1,0,0,0,0,1,1,0,1,4,5,4,1,2,5,0,10,10
168,1,0,18,0,1,1,1,1,4,5,3,2,3,1,3,0,1,0,1,0,1,0,0,5,2,5,1,5,4,6,11,10
169,1,1,15,1,0,1,4,4,1,5,1,0,1,1,0,0,1,0,0,0,1,1,1,5,4,3,2,4,5,8,10,11
170,0,0,18,0,1,1,2,2,4,5,4,2,2,3,0,0,0,0,0,1,1,0,0,5,3,3,1,3,4,0,14,17
171,1,1,15,1,1,0,4,4,5,3,2,2,1,4,0,0,1,0,1,0,1,1,1,1,3,3,5,5,3,0,11,12
172,1,0,18,1,1,1,4,4,1,5,3,2,1,2,0,0,1,0,0,1,1,1,0,4,4,4,3,3,5,0,12,11
173,1,0,18,1,1,1,3,2,4,5,2,1,1,3,0,0,1,0,0,1,1,1,1,4,3,4,1,2,2,5,14,17
174,1,1,17,1,0,1,2,2,5,5,1,1,1,2,0,0,0,0,1,0,1,1,1,4,4,2,5,5,4,0,16,16
175,1,1,15,1,1,1,2,2,3,3,3,1,1,1,0,1,1,0,0,1,1,1,0,5,4,1,1,1,1,0,9,10
176,1,1,18,1,0,1,3,3,3,2,1,1,1,2,0,0,1,0,0,1,1,1,0,3,2,4,2,4,4,10,10,10
177,1,0,16,1,1,1,2,2,3,3,1,2,1,1,0,0,1,0,0,0,1,1,0,1,2,2,1,3,5,6,10,11
178,1,0,15,1,1,1,4,4,3,3,3,2,1,1,0,1,1,0,0,1,1,1,0,3,3,4,2,3,5,0,13,12
179,1,0,16,1,1,0,2,2,5,5,2,2,1,2,0,1,1,0,0,1,1,1,0,3,3,4,1,1,4,0,13,13
180,0,1,17,0,1,1,4,3,3,5,1,2,2,2,1,0,1,1,1,0,1,1,1,4,5,5,1,3,2,4,10,11
181,1,1,18,1,1,1,2,1,3,3,4,2,1,1,2,0,0,0,0,0,0,1,0,3,2,5,2,5,5,4,7,8
182,1,0,15,1,1,1,4,2,2,3,1,2,1,3,0,0,1,0,1,1,1,1,1,3,2,2,1,1,5,0,14,14
183,1,1,17,1,1,1,1,2,4,3,4,0,2,2,0,0,0,0,1,0,1,1,0,4,4,4,4,5,5,16,10,11
184,1,1,16,1,1,1,2,2,3,5,2,1,2,2,0,0,0,0,1,0,1,1,0,4,4,2,1,1,3,6,12,10
185,1,1,18,1,1,1,4,2,2,5,2,1,1,2,0,0,1,0,1,1,1,1,1,5,4,5,1,3,5,4,10,12
186,1,0,16,1,1,1,3,1,3,5,3,2,1,4,0,1,1,0,0,1,1,1,0,4,3,3,1,2,5,0,10,9
187,1,1,16,1,1,1,2,1,5,5,3,2,3,1,0,0,0,0,0,1,1,1,0,4,3,3,1,1,4,7,15,16
188,0,0,16,1,1,1,4,4,2,2,3,2,1,2,0,0,1,0,0,1,1,1,1,4,3,4,1,2,3,4,8,8
189,0,0,18,0,1,1,4,4,5,1,4,1,3,2,0,0,1,0,0,0,1,1,1,3,2,2,4,2,5,0,7,5
190,1,0,16,1,0,1,3,3,5,5,2,2,2,2,0,0,1,0,1,1,1,1,0,4,4,5,1,1,4,0,14,14
191,1,0,16,1,1,1,3,3,5,5,1,2,1,3,0,0,1,0,0,1,1,1,1,4,3,3,1,3,4,2,9,11
192,0,0,16,0,1,1,2,2,5,5,3,2,3,2,0,0,1,0,0,1,1,1,0,4,4,5,1,1,4,4,9,10
193,1,1,18,0,1,1,2,3,5,3,2,1,1,1,0,0,0,0,0,1,1,1,0,3,1,3,4,5,4,13,13,14
194,1,0,16,1,1,1,2,1,5,5,3,2,1,2,0,0,1,0,0,1,1,0,1,4,3,5,1,1,5,0,13,12
195,1,0,16,1,0,1,4,3,1,3,3,2,3,2,0,0,1,0,1,1,1,1,0,5,4,3,1,2,1,2,16,15
196,1,1,17,1,0,1,4,4,1,5,2,2,1,2,0,0,1,0,1,1,1,1,0,4,4,4,1,3,5,0,11,9
197,0,0,16,0,0,1,2,2,5,5,3,2,1,3,0,0,1,0,0,0,1,0,1,4,3,3,2,2,5,2,11,11
198,1,1,16,1,1,1,4,4,1,1,3,1,1,2,0,0,1,0,1,1,1,1,0,5,4,4,1,2,5,6,16,14
199,0,0,15,0,0,1,1,1,4,3,2,1,2,2,0,0,1,0,0,1,1,1,0,5,4,3,1,2,4,0,10,10
200,1,0,15,1,0,1,3,2,3,5,2,2,1,2,0,0,1,0,0,1,1,1,0,4,4,4,1,1,5,4,12,11
201,0,0,16,0,1,1,2,3,4,3,4,2,2,2,0,0,1,0,1,1,1,1,0,3,3,3,1,1,2,0,8,10
202,1,0,17,1,1,1,3,3,3,5,1,2,2,3,0,0,1,0,0,1,1,1,1,4,2,2,2,3,5,10,11,11
203,0,0,16,1,1,1,2,2,5,3,3,1,1,1,1,0,1,1,1,0,1,1,0,4,4,3,1,4,3,1,9,10
204,1,0,15,0,0,1,2,2,2,3,2,2,2,2,0,1,1,0,0,1,1,1,0,4,1,3,1,3,4,0,11,10
205,1,1,17,0,1,1,3,4,4,5,3,2,3,2,0,0,0,0,0,1,1,0,0,5,4,5,2,4,5,2,10,9
206,1,0,16,1,0,1,2,2,5,5,1,2,2,2,0,0,1,0,1,0,1,1,1,3,3,3,1,2,3,16,11,11
207,0,0,16,1,1,1,3,2,3,4,3,2,1,1,0,0,0,0,0,1,1,1,0,3,1,3,1,4,3,2,7,6
